"run_id","run_started_at","network","phase","transaction_hash","source_address","verification_status","stellar_expert_url"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_trustline","0895b98f59884413c03b60045a7c985b0f49b5f95855b35406e98490b015b6b0","GA5HGG64QVIEV7OY33CVMWPW6FMYUGZY75KC4SBKTKCFJ2LPFQPP2IUB","successful","https://stellar.expert/explorer/testnet/tx/0895b98f59884413c03b60045a7c985b0f49b5f95855b35406e98490b015b6b0"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","friendbot_funding","a9fbce8453b3eaa9373559b13d2961e61d79f1f49a8887db29411a4ab4441b23","GDFCSZHR3YU37PM72M3ITKY6J5KHUFARTAI6R7742XTWRUVLW6JFACRC","successful","https://stellar.expert/explorer/testnet/tx/a9fbce8453b3eaa9373559b13d2961e61d79f1f49a8887db29411a4ab4441b23"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_trustline","ef262605acb4aff50d4ea5ddd0cd83ca4d8b38cf7a72d4cb5bda5f1e18b9c9fd","GDFCSZHR3YU37PM72M3ITKY6J5KHUFARTAI6R7742XTWRUVLW6JFACRC","successful","https://stellar.expert/explorer/testnet/tx/ef262605acb4aff50d4ea5ddd0cd83ca4d8b38cf7a72d4cb5bda5f1e18b9c9fd"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","friendbot_funding","7bd70491a8d486fa18e3a5cd4f9ea1b8c9e813712e04451944afb8d355b147f6","GCP2LDMSKBL4ENAUFSJU7PIH7W4U5GNDW2FZ2EJWQ4FOLCRA7COVJXNZ","successful","https://stellar.expert/explorer/testnet/tx/7bd70491a8d486fa18e3a5cd4f9ea1b8c9e813712e04451944afb8d355b147f6"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_trustline","f45f4b7c240ccd2d377e4d04ec1171eb01254ec581552a6244d47a5c387ccbc5","GCP2LDMSKBL4ENAUFSJU7PIH7W4U5GNDW2FZ2EJWQ4FOLCRA7COVJXNZ","successful","https://stellar.expert/explorer/testnet/tx/f45f4b7c240ccd2d377e4d04ec1171eb01254ec581552a6244d47a5c387ccbc5"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","friendbot_funding","4a10a09d8321ec60e315f217bcb8883562616061cffe28bf92c02b9a7efd53a4","GAUATZ6H6SATGBDXZSH67WQBHK2TGOS36KNTOQENFC7RTZQ455IXI2LL","successful","https://stellar.expert/explorer/testnet/tx/4a10a09d8321ec60e315f217bcb8883562616061cffe28bf92c02b9a7efd53a4"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_trustline","b87443f503a0131f563d5a5cbd173faf4548a8d44187926865dc719c8a0be520","GAUATZ6H6SATGBDXZSH67WQBHK2TGOS36KNTOQENFC7RTZQ455IXI2LL","successful","https://stellar.expert/explorer/testnet/tx/b87443f503a0131f563d5a5cbd173faf4548a8d44187926865dc719c8a0be520"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","friendbot_funding","33bccfe461422274f54f74d01266da6934fc2f650c6b31e6f0d5fd7db8adc80e","GDQK5OVF7Z7CFRX5CQ3LLVXDGVXY7HQFNPRYLWRSVPBXSDQ5VSFSWG3Y","successful","https://stellar.expert/explorer/testnet/tx/33bccfe461422274f54f74d01266da6934fc2f650c6b31e6f0d5fd7db8adc80e"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_trustline","8a571d79e924e428c980f5f2aa1cf8f25c3ed07f7a1905138e7ec7e6504b6373","GDQK5OVF7Z7CFRX5CQ3LLVXDGVXY7HQFNPRYLWRSVPBXSDQ5VSFSWG3Y","successful","https://stellar.expert/explorer/testnet/tx/8a571d79e924e428c980f5f2aa1cf8f25c3ed07f7a1905138e7ec7e6504b6373"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","friendbot_funding","548547a155f90f706d7d1d8e75f54549f2a1916057ea720e7d9bca1b4aee6d2e","GAQSV4JWXKG2F4RHDSSGPRX7I2CEN3IW3Z5UYKYKL75LZIE7N4RDNYWT","successful","https://stellar.expert/explorer/testnet/tx/548547a155f90f706d7d1d8e75f54549f2a1916057ea720e7d9bca1b4aee6d2e"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_trustline","af6c6454733f9ccb2e3b531db319bde7c071c49eeb3c3473fedbc8cc6da50649","GAQSV4JWXKG2F4RHDSSGPRX7I2CEN3IW3Z5UYKYKL75LZIE7N4RDNYWT","successful","https://stellar.expert/explorer/testnet/tx/af6c6454733f9ccb2e3b531db319bde7c071c49eeb3c3473fedbc8cc6da50649"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","f1b1c24439eaa895b4337baa7aa21997ce9b2ccf6fce39e0021ad611c3e909c9","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/f1b1c24439eaa895b4337baa7aa21997ce9b2ccf6fce39e0021ad611c3e909c9"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","3b2332e85c4b4285b7dc8c1d67fddde6950ca37def79d711de35c426836289cd","GDVWC2YTSBPECJO537FNTVN6U2MX7C5ANGOLSUSZU4KCRNO7XLKNKC26","successful","https://stellar.expert/explorer/testnet/tx/3b2332e85c4b4285b7dc8c1d67fddde6950ca37def79d711de35c426836289cd"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","2bc224a3ca3cba16346e81075fd02cfdc26090a18167972a67aab344f0cdd1c1","GDVWC2YTSBPECJO537FNTVN6U2MX7C5ANGOLSUSZU4KCRNO7XLKNKC26","successful","https://stellar.expert/explorer/testnet/tx/2bc224a3ca3cba16346e81075fd02cfdc26090a18167972a67aab344f0cdd1c1"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","8a47d50888194f57dc4b67feccb9b21730d7046f8de1e09610c8862aebdd0f07","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/8a47d50888194f57dc4b67feccb9b21730d7046f8de1e09610c8862aebdd0f07"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","2ffddecc3cd3f7d53b89b9eaf566074c91ac62f76ff27d462999dc63aae09dc6","GBQ3AZTONBJ2MBYKCC2NJB7AYIYCAHJAUYYANHRYT2WGDFNVJ5XEQKOP","successful","https://stellar.expert/explorer/testnet/tx/2ffddecc3cd3f7d53b89b9eaf566074c91ac62f76ff27d462999dc63aae09dc6"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","dcb488087aff2a05841f375f549f08a44aae28bd8430c0d83efdc28133f76ac9","GBQ3AZTONBJ2MBYKCC2NJB7AYIYCAHJAUYYANHRYT2WGDFNVJ5XEQKOP","successful","https://stellar.expert/explorer/testnet/tx/dcb488087aff2a05841f375f549f08a44aae28bd8430c0d83efdc28133f76ac9"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","2fbed20607ba7176c08e722df8e8ae682942545e569ed04d1a8692e63865eada","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/2fbed20607ba7176c08e722df8e8ae682942545e569ed04d1a8692e63865eada"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","e3a1960a8a72f70805e943be69f35b20aec6c4f337c328f42a00b428c5cd7ce9","GDWYT5TDREK7VEOE5RCPMBCBM7VRRDFTD572L5WRN6QJHI62XE3ULNKP","successful","https://stellar.expert/explorer/testnet/tx/e3a1960a8a72f70805e943be69f35b20aec6c4f337c328f42a00b428c5cd7ce9"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","e1d2dbcaf1c019546931d3133b1562a9ce8d154f4e25ee020233f59ca6b9d987","GDWYT5TDREK7VEOE5RCPMBCBM7VRRDFTD572L5WRN6QJHI62XE3ULNKP","successful","https://stellar.expert/explorer/testnet/tx/e1d2dbcaf1c019546931d3133b1562a9ce8d154f4e25ee020233f59ca6b9d987"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","71ff54a9b4c845ff175a51f152e6b276c940b1e7945833f9da4c02d1987b17e7","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/71ff54a9b4c845ff175a51f152e6b276c940b1e7945833f9da4c02d1987b17e7"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","405aef2bb0c86f602ae29ed090d8a978e530ffd81c3d2c23cafe5f58585d1450","GDANYXBNLCGXABDJVQG2HOHTJ33B5ME3NSDCUYOXVA7UQFFJLCVPCARE","successful","https://stellar.expert/explorer/testnet/tx/405aef2bb0c86f602ae29ed090d8a978e530ffd81c3d2c23cafe5f58585d1450"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","4541ac8f945440d2d4b863cce9f9d72fea7bfc159596d257c6dbb875d884b0ad","GDANYXBNLCGXABDJVQG2HOHTJ33B5ME3NSDCUYOXVA7UQFFJLCVPCARE","successful","https://stellar.expert/explorer/testnet/tx/4541ac8f945440d2d4b863cce9f9d72fea7bfc159596d257c6dbb875d884b0ad"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","1592746b96eba8617bd9da138a9dc032cb6adc2c0251849acc0b80a26532118d","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/1592746b96eba8617bd9da138a9dc032cb6adc2c0251849acc0b80a26532118d"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","c4fe0d9368ce26575f5019efb68cc9caf9a48def7bda119eb873e164f6809de9","GDTOFK4OCOTJM57OVF7FZCSUPEDRAGHQYLZQUK34IBR7L62R43SLH4ZA","successful","https://stellar.expert/explorer/testnet/tx/c4fe0d9368ce26575f5019efb68cc9caf9a48def7bda119eb873e164f6809de9"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","04665fa9a346403d76df2468b19fb0d2f0f1bfcd20f87333609ffb0375add077","GDTOFK4OCOTJM57OVF7FZCSUPEDRAGHQYLZQUK34IBR7L62R43SLH4ZA","successful","https://stellar.expert/explorer/testnet/tx/04665fa9a346403d76df2468b19fb0d2f0f1bfcd20f87333609ffb0375add077"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","89d5fa099254c473163e4eaaaac0d7db6a77fb1de6e3262b79c1bd06c71fc51c","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/89d5fa099254c473163e4eaaaac0d7db6a77fb1de6e3262b79c1bd06c71fc51c"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","98dd779cd00e2302c289c2627f9e599109dde3cfd01074adbd0201864ad92abc","GAMSHS6QINQHB2WT3B6GVUH7B5M7YZITKNLPDGNK75E22TFXATKU25AO","successful","https://stellar.expert/explorer/testnet/tx/98dd779cd00e2302c289c2627f9e599109dde3cfd01074adbd0201864ad92abc"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","008885735b200dea536d8a16bb084e6b6fd7c69dae9a4bd781ac98b711efe97b","GAMSHS6QINQHB2WT3B6GVUH7B5M7YZITKNLPDGNK75E22TFXATKU25AO","successful","https://stellar.expert/explorer/testnet/tx/008885735b200dea536d8a16bb084e6b6fd7c69dae9a4bd781ac98b711efe97b"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_funding","55b56727c1a492cb8e846a06dbc70da633765fbbf8a9b76e73de310114d352d0","GCPQA5BPDIMI6P3LRIDCKVBOAFU35VKCCWDNZN4N6QRLX4ZJUQKZTHBT","successful","https://stellar.expert/explorer/testnet/tx/55b56727c1a492cb8e846a06dbc70da633765fbbf8a9b76e73de310114d352d0"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","asset_allowance","483e08f6ffefaed73ea5b1db3922b28ae61b8a6314c5697e6aeb73c16ae07549","GA5HGG64QVIEV7OY33CVMWPW6FMYUGZY75KC4SBKTKCFJ2LPFQPP2IUB","successful","https://stellar.expert/explorer/testnet/tx/483e08f6ffefaed73ea5b1db3922b28ae61b8a6314c5697e6aeb73c16ae07549"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","create_mandate","f24d5d4f3e008447db1fa9ab1b2be9dfe8c9a7796741bea4ca1d37dfb8098c97","GA5HGG64QVIEV7OY33CVMWPW6FMYUGZY75KC4SBKTKCFJ2LPFQPP2IUB","successful","https://stellar.expert/explorer/testnet/tx/f24d5d4f3e008447db1fa9ab1b2be9dfe8c9a7796741bea4ca1d37dfb8098c97"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","1a7901eedbb8e19b533dfe45e380606289a92d8bdeee84b02870baaf51d6501c","GDFCSZHR3YU37PM72M3ITKY6J5KHUFARTAI6R7742XTWRUVLW6JFACRC","successful","https://stellar.expert/explorer/testnet/tx/1a7901eedbb8e19b533dfe45e380606289a92d8bdeee84b02870baaf51d6501c"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","6a41e045410d9772a2005701fa51e709cbde7ccb57b6dcbf8bfdb7a3256003b2","GCP2LDMSKBL4ENAUFSJU7PIH7W4U5GNDW2FZ2EJWQ4FOLCRA7COVJXNZ","successful","https://stellar.expert/explorer/testnet/tx/6a41e045410d9772a2005701fa51e709cbde7ccb57b6dcbf8bfdb7a3256003b2"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","c76800c55e78470bec4bdbb823a7b8494335ac593cf389a69a01c9c3ddd403f6","GAUATZ6H6SATGBDXZSH67WQBHK2TGOS36KNTOQENFC7RTZQ455IXI2LL","successful","https://stellar.expert/explorer/testnet/tx/c76800c55e78470bec4bdbb823a7b8494335ac593cf389a69a01c9c3ddd403f6"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","2e43e21941163ae41223c6a54d528722705e10379c4548ae53445c2a7513f091","GDQK5OVF7Z7CFRX5CQ3LLVXDGVXY7HQFNPRYLWRSVPBXSDQ5VSFSWG3Y","successful","https://stellar.expert/explorer/testnet/tx/2e43e21941163ae41223c6a54d528722705e10379c4548ae53445c2a7513f091"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","406ebdad39a4de70ec3d21ee6a52015e71e2c68ccecdb27e8ca0ee2c80c8daa8","GAQSV4JWXKG2F4RHDSSGPRX7I2CEN3IW3Z5UYKYKL75LZIE7N4RDNYWT","successful","https://stellar.expert/explorer/testnet/tx/406ebdad39a4de70ec3d21ee6a52015e71e2c68ccecdb27e8ca0ee2c80c8daa8"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","d99058dc20dc2a569a297ad5b1bf2add51b8e88dbfd372511823837f8c274184","GDFCSZHR3YU37PM72M3ITKY6J5KHUFARTAI6R7742XTWRUVLW6JFACRC","successful","https://stellar.expert/explorer/testnet/tx/d99058dc20dc2a569a297ad5b1bf2add51b8e88dbfd372511823837f8c274184"
"stress-20260730045306-585217","2026-07-30T04:53:06.203Z","testnet","relayed_charge","17f6865d4641498a8ce04418088c38d2b1311b9dba275f0b1543e4255cbf5d9b","GCP2LDMSKBL4ENAUFSJU7PIH7W4U5GNDW2FZ2EJWQ4FOLCRA7COVJXNZ","successful","https://stellar.expert/explorer/testnet/tx/17f6865d4641498a8ce04418088c38d2b1311b9dba275f0b1543e4255cbf5d9b"
